SampleID,BarcodeSequence,LinkerPrimerSequence,Age,Age_weeks,Tissue,Flock,Flock2,AgeTissue,AgeTissueFlock,Weight_g,Bird#,NDV,REO,HEV,BA,MG,MM,MS,Description
cC069,,,Three,3,CE ,RD2 ,RD2 ,ThreeCE,ThreeCE_RD2,457,31,0,296,482,1100,Negative,Negative,Negative,C069
cC070,,,Three,3,CE ,RD2 ,RD2 ,ThreeCE,ThreeCE_RD2,763,32,0,279,171,0,Negative,Negative,Negative,C070
cC071,,,Three,3,CE ,RD2 ,RD2 ,ThreeCE,ThreeCE_RD2,777,33,0,116,457,312,Negative,Negative,Negative,C071
cC072,,,Three,3,CE ,RD2 ,RD2 ,ThreeCE,ThreeCE_RD2,749,34,0,246,0,0,Negative,Negative,Negative,C072
cC073,,,Five,5,CE ,RD2 ,RD2 ,FiveCE,FiveCE_RD2,1281,45,0,116,171,0,Negative,Negative,Negative,C073
cC074,,,Five,5,CE ,RD2 ,RD2 ,FiveCE,FiveCE_RD2,1642,46,0,164,238,0,Negative,Negative,Negative,C074
cC075,,,Five,5,CE ,RD2 ,RD2 ,FiveCE,FiveCE_RD2,1745,47,0,668,840,0,Negative,Negative,Negative,C075
cC076,,,Five,5,CE ,RD2 ,RD2 ,FiveCE,FiveCE_RD2,1680,48,0,435,0,0,Negative,Negative,Negative,C076
cC077,,,Five,5,CE ,RD2 ,RD2 ,FiveCE,FiveCE_RD2,1655,49,0,279,0,0,Negative,Negative,Negative,C077
cC078,,,Five,5,CE ,RD2 ,RD2 ,FiveCE,FiveCE_RD2,1442,50,0,347,206,0,Negative,Negative,Negative,C078
cC079,,,Five,5,CE ,RD2 ,RD2 ,FiveCE,FiveCE_RD2,1593,51,0,296,486,0,Negative,Negative,Negative,C079
cC080,,,Five,5,CE ,RD2 ,RD2 ,FiveCE,FiveCE_RD2,1513,52,0,541,158,0,Negative,Negative,Negative,C080
cC081,,,Five,5,CE ,RD2 ,RD2 ,FiveCE,FiveCE_RD2,1418,53,0,1076,853,284,Negative,Negative,Negative,C081
